Name,Position,Team,Salary
Denis Odoi,Defender,FFC,"£462,800"
Neil Taylor,Defender,AVFC,"£416,000"
Anders Lindegaard,Goalkeeper,BFC,"£416,000"
Jamal Blackman,Goalkeeper,CFC,"£416,000"
Beni Baningime,Midfielder,EFC,"£416,000"
Tyias Browning,Defender,EFC,"£416,000"
Floyd Ayité,Forward,FFC,"£416,000"
Ryan Sessegnon,Midfielder,FFC,"£416,000"
Hamza Choudhury,Midfielder,LC,"£416,000"
Brahim Diaz,Midfielder,MCFC,"£416,000"
Ben Marshall,Midfielder,NCFC,"£416,000"
Teemu Pukki,Forward,NCFC,"£416,000"
Mark Duffy,Midfielder,SUFC,"£416,000"
John Fleck,Midfielder,SUFC,"£416,000"
Sam Field,Midfielder,WBAFC,"£416,000"
Kortney Hause,Defender,WWFC,"£416,000"
Dominic Iorfa,Defender,WWFC,"£416,000"
Ethan Ampadu,Midfielder,CFC,"£390,000"
John Egan,Defender,SUFC,"£390,000"
Jack Grealish,Midfielder,AVFC,"£364,000"
Andre Green,Forward,AVFC,"£312,000"
Matheus Pereira,Forward,WBAFC,"£312,000"
Keinan Davis,Forward,AVFC,"£260,000"
Adam Legzdins,Goalkeeper,BFC,"£260,000"
Aleix Garcia,Midfielder,MCFC,"£260,000"
Axel Tuanzebe (on loan from ),Defender,MUFC,"£260,000"
Julien Ngoy,Forward,SCFC,"£260,000"
Thibaud Verlinden,Midfielder,SCFC,"£260,000"
Kieron Freeman,Defender,SUFC,"£234,000"
Dennis Srbeny,Forward,NCFC,"£208,000"
George Baldock,Defender,SUFC,"£208,000"
John Lundstrom,Midfielder,SUFC,"£208,000"
Enda Stevens,Defender,SUFC,"£208,000"
Tyler Roberts,Midfielder,LUFC,"£182,000"
Sullay Kaikai,Midfielder,CP,"£156,000"
George Thomas,Forward,LC,"£156,000"
Freddie Woodman,Goalkeeper,NUFC,"£156,000"
Kean Bryan,Defender,SUFC,"£156,000"
Harry Souttar,Defender,SCFC,"£156,000"
Declan Rice,Midfielder,WHUFC,"£156,000"
Ethan Ebanks-Landell,Defender,WWFC,"£156,000"
Will Norris,Goalkeeper,WWFC,"£156,000"
Josh Knight,Defender,LC,"£104,000"
Alex Palmer,Goalkeeper,WBAFC,"£104,000"
Jonathan Leko,Midfielder,WBAFC,"£93,600"
Morgan Gibbs-White,Midfielder,WWFC,"£78,000"
Sam Hughes,Defender,LC,"£46,800"
Jake Flannigan,Defender,SFC,"£41,600"
Dan Agyei,Forward,BFC,"£36,400"
Sean Longstaff,Midfielder,NUFC,"£36,000"
Ryan Schofield,Goalkeeper,HUD,"£26,000"
Gaetano Berardi,Defender,LUFC,£0
Nicolas Otamendi,Defender,MCFC,£0
Reece Oxford,Defender,WHUFC,£0
Willy Boly,Defender,WWFC,£0
