Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat
Alireza Jahanbakhsh,BHA,ir,27,AM(CLR),180,76,12(7),1022,-,-,2,-,1.1,69.3,0.6,-,1.7,0.6,1,-,0.1,1,-,-,0.3,0.6,0.4,0.3,1.1,1.5,14.6,0.3,0.6,-,6.33
Gaëtan Bong,BHA,cm,32,D(L),187,74,19(3),1805,-,-,-,-,0.1,74.3,1.1,-,0.7,1.1,0.5,0.2,2,0.2,0.3,-,0.4,0.5,0.2,-,0.7,0.8,27.4,0.4,1.1,-,6.31
Jürgen Locadia,BHA,nl,26,"AM(LR),FW",187,88,12(14),1230,2,-,1,-,1.1,72.8,0.9,-,0.6,0.3,0.8,-,0.3,0.2,-,-,0.5,0.2,0.4,0.4,0.6,1.6,12.7,0.2,0.7,-,6.27
Florin Andone,BHA,ro,27,FW,180,78,8(15),876,3,-,5,-,0.8,67.3,1.6,-,0.4,0.1,1.2,-,0.5,0.2,-,-,0.1,0.4,0.9,0.2,1.4,2.1,7.2,0.1,0.1,-,6.22
Philip Billing,HUD,dk,24,DMC,193,83,25(2),2192,2,-,7,-,1.6,78.6,3.3,3,2.7,2,1.4,0.2,1.5,0.9,0.6,-,0.8,0.7,1.1,0.1,1,2,39.8,0.3,2.9,-,7.08
Zanka,HUD,dk,30,D(C),189,79,24,2148,3,1,6,-,0.3,82.1,1.5,1,2,2.9,1.4,0.5,3.4,0.8,0.6,-,0.3,0.1,0.6,-,0.3,0.3,48.9,-,2.9,-,6.77
Aaron Mooy,HUD,au,30,M(CLR),174,68,25(4),2327,3,1,4,-,1.5,80.2,0.5,1,2.1,0.5,0.9,-,0.7,1.1,0.2,-,1.5,0.8,0.4,-,1.6,1.2,44.1,1.4,2.1,-,6.73
Steve Mounie,HUD,bj,26,FW,190,83,19(12),1778,2,3,1,1,2,64.5,6.8,2,0.3,0.2,1,-,0.5,0.3,-,-,0.6,0.4,0.5,0.5,1.2,2,18,-,0.1,-,6.69
Jonathan Hogg,HUD,eng,31,DMC,170,67,29,2377,-,1,8,1,0.3,83.2,1.1,-,2.7,2.5,2,-,0.6,1.4,0.2,-,0.6,0.3,1.2,-,0.7,1.1,53.3,0.1,2.4,-,6.60
Christopher Schindler,HUD,de,30,D(C),189,82,37,3262,1,-,4,1,0.4,82.8,3.7,1,1.6,1.9,0.7,0.6,3.6,0.5,0.9,-,0.1,-,0.5,-,0.1,0.2,41.9,-,4,-,6.59
Terence Kongolo,HUD,nl,26,D(CL),188,70,32,2722,1,1,4,-,0.4,78,1.7,-,2.3,2,0.6,0.4,3,0.6,0.5,1,0.3,0.3,0.8,0.1,0.1,0.5,35.9,0.1,2.2,-,6.58
Jonas Lössl,HUD,dk,31,GK,195,89,30(1),2777,-,1,1,-,-,61.2,0.5,1,-,0.1,-,-,1,-,-,-,0.1,-,0.1,-,-,-,32.5,-,10.5,-,6.52
Alex Pritchard,HUD,eng,27,AM(CLR),171,62,26(4),2092,2,-,2,-,1.6,74.9,0.5,-,1.2,0.6,0.4,-,0.2,0.8,0.1,-,1.1,1,1.7,0.2,1.7,2.3,29.9,0.6,1,-,6.51
Juninho Bacuna,HUD,nl,23,"D(R),M(CL)",178,74,16(5),1416,1,-,4,-,0.9,75.4,0.8,-,2.2,1.1,1.6,0.1,0.5,1.5,-,-,0.9,1.2,1,-,0.8,1.9,34,0.4,2.8,-,6.49
Jon Gorenc Stankovic,HUD,si,24,"D(C),DMC",190,78,9(2),720,1,-,2,-,0.8,75.5,2,-,2.4,0.8,0.8,0.1,1.7,1.1,0.8,-,0.2,0.1,1.1,-,0.1,0.6,26.7,-,1.5,-,6.42
Karlan Grant,HUD,eng,23,"AM(L),FW",180,70,9(4),874,4,-,-,-,1.6,69.8,0.8,1,0.4,0.2,0.6,-,0.1,0.2,-,-,0.6,0.9,0.6,0.3,1.8,2.2,16.3,-,0.3,-,6.42
Florent Hadergjonaj,HUD,xk,26,"D(LR),M(R)",182,73,19(5),1841,-,-,1,-,0.3,75.2,1,-,1.3,0.9,0.5,0.3,1.1,1,0.3,-,1,0.4,0.8,0.1,0.1,0.9,30.2,0.9,1.4,-,6.40
Chris Löwe,HUD,de,31,"D(L),M(L)",175,68,23(6),2057,-,2,2,-,0.6,75.1,0.9,-,1.2,0.8,0.5,0.1,1.8,0.7,0.1,-,0.7,0.3,0.4,0.1,0.4,0.6,29,1.1,2.1,-,6.35
Erik Durm,HUD,de,28,"D(LR),M(LR)",183,72,21(7),2054,-,1,-,-,0.4,69,0.8,-,1.3,1.5,0.5,0.3,1.3,0.7,0.2,-,0.4,0.4,0.8,-,0.5,1.2,27.7,0.4,1.3,-,6.33
Joel Coleman,HUD,eng,25,GK,198,82,1,90,-,-,-,-,-,37.8,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,37,-,7,-,6.32
Rajiv van La Parra,HUD,nl,29,"AM(LR),FW",181,72,5,407,-,-,-,-,1,85.7,0.2,-,1.6,0.8,0.8,-,0.2,1,-,-,0.8,1.4,2.8,-,4.2,2.2,21,-,1.2,0.2,6.32
Jason Puncheon,HUD,eng,34,M(CLR),173,70,5(1),383,-,-,1,-,1,79.5,1,-,1.2,0.7,1.5,-,1.3,1,0.2,-,0.8,0.8,0.3,0.2,2,2,33.3,0.3,2,0.2,6.31
Tommy Smith,HUD,eng,28,"D(CR),M(R)",186,75,13(2),1142,-,-,2,1,0.2,74.8,0.9,-,1.7,1.2,0.7,0.1,1.7,1,0.3,-,0.5,0.2,0.4,-,0.2,0.3,32.5,0.3,2.1,-,6.24
Laurent Depoitre,HUD,be,31,FW,191,91,10(13),1062,-,1,1,-,1.3,59.9,3.5,-,0.3,0.1,0.8,-,0.3,0.1,-,-,0.4,0.2,0.4,0.3,1.3,1.8,11.9,-,0.1,-,6.22
Ramadan Sobhi,HUD,eg,23,AM(CL),183,75,0(4),76,-,-,-,-,-,86,0.8,-,0.3,0.3,-,-,-,-,-,-,0.8,0.5,0.3,-,1.3,1,10.8,0.3,-,-,6.18
Abdelhamid Sabiri,HUD,ma,23,AM(CL),186,80,1(1),50,-,-,-,-,-,87.5,-,-,1,0.5,-,-,-,-,-,-,-,-,0.5,-,-,0.5,4,-,-,-,6.16
Elias Kachunga,HUD,cd,28,"AM(CLR),FW",178,74,13(7),1182,-,-,2,-,0.7,71.3,1.2,-,1.1,0.2,1.2,-,0.5,0.8,0.1,-,0.3,0.5,1.1,0.5,1,1.1,14.8,0.3,0.2,-,6.14
Isaac Mbenza,HUD,be,24,"AM(LR),FW",187,77,10(12),984,1,1,1,-,0.7,75.4,0.1,-,0.5,0.2,0.4,-,0.2,0.1,-,-,0.3,0.2,0.2,0.2,0.5,0.8,10.5,0.3,0.4,-,6.14
Demeaco Duhaney,HUD,eng,22,D(R),180,70,1,46,-,-,-,-,-,78.9,-,-,1,1,-,-,1,2,-,-,-,-,2,-,-,2,19,-,1,-,6.11
Adama Diakhaby,HUD,fr,24,"AM(LR),FW",188,74,6(6),553,-,-,1,-,0.6,76.2,0.5,-,0.5,0.1,0.6,-,0.1,0.7,-,-,0.4,1,0.8,0.2,1.8,1.4,12.3,0.2,0.1,-,6.08
Danny Williams,HUD,us,31,M(C),182,79,1(4),95,-,-,1,-,0.2,79.2,-,-,-,0.2,0.4,-,0.4,-,0.2,-,0.2,0.2,0.2,-,0.8,0.2,4.8,-,-,-,6.08
Ben Hamer,HUD,eng,32,GK,192,91,7,553,-,-,-,-,-,44.5,0.4,-,-,0.1,-,-,0.6,0.4,-,-,-,-,-,-,-,0.1,27.3,-,8.7,-,5.99
Collin Quaner,HUD,de,29,"AM(R),FW",191,81,0(2),37,-,-,-,-,-,76.5,-,-,-,-,1,-,-,0.5,-,-,0.5,0.5,-,0.5,1,1,8.5,-,-,-,5.97
Matty Daly,HUD,eng,19,Midfielder,0,0,0(2),73,-,-,-,-,-,58.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,6,-,-,-,5.96
Aaron Rowe,HUD,eng,20,Midfielder,0,0,1(1),69,-,-,-,-,-,65,-,-,0.5,0.5,1,-,0.5,-,-,-,-,0.5,-,-,2,0.5,10,-,-,-,5.92
Jannik Vestergaard,SFC,dk,28,D(C),199,96,23,2030,-,-,2,-,0.6,76.9,3.7,-,2.3,1.5,0.7,0.9,7.4,0.7,0.9,-,0.2,0.4,0.6,-,0.2,0.4,36.7,-,2.3,0.1,7.07
Jan Bednarek,SFC,pl,24,D(C),189,77,24(1),2151,-,1,7,-,0.2,70.5,3.2,3,1.6,2.8,0.9,0.8,6.7,0.6,1.1,-,0.4,-,0.2,-,0.2,0.2,32.8,-,1.7,0.1,7.04
